Gene.symbol,logFC
gnsB,3.7
sulA,2.54
recN,2.16
c4435,2.14
dinI,2.11
c2757,2.08
c1431,2.05
gabP,2
recA,1.91
ECs5456,1.91
speB,1.91
gnd,1.9
yebG,1.89
c1464,1.86
Z2071,1.81
pta,1.79
narK,1.79
yigN,1.73
yfcB,1.72
dinG,1.71
ECs2230,1.7
nrdA,1.67
Z5883,1.67
fabF,1.65
yebF,1.6
hypE,1.6
sbmC,1.59
c2484,1.57
sdaC,1.56
uvrB,1.55
napD,1.54
ECs2526,1.54
ECs2890,1.53
tdcC,1.52
umuD,1.51
sdhA,1.5
rpsU,1.49
ygaM,1.49
ruvA,1.48
psrD,1.46
yeeA,1.46
ECs0818,1.46
rfbB,1.44
Z4316,1.43
acnB,1.43
Z1785,1.43
prsA,1.42
rimM,1.42
c4578,1.42
c4090,1.4
ycfC,1.4
moeA,1.39
fabH,1.39
pepN,1.39
yfeX,1.39
gatZ,1.38
Z0341,1.37
yfbB,1.37
c5455,1.36
Z1655,1.35
focA_2,1.35
c4069,1.34
glmY,1.34
nikA,1.34
rpsP,1.34
lolB,1.34
ECs3003,1.34
yecH,1.33
c1602,1.33
yceD,1.32
rfbD,1.32
accD,1.31
nrdB,1.31
rplT,1.31
Z1887,1.31
napF,1.3
c0864,1.3
yeeN,1.3
hypD,1.3
yeaE,1.3
Z1370,1.3
nuoF,1.3
glnP,1.29
sdaB,1.29
tyrS,1.28
ydjQ,1.28
c4084,1.28
pepP,1.28
yacK,1.28
c2047,1.28
mnmA,1.27
plsX,1.27
c1465,1.27
bioD,1.26
c5221,1.26
agp,1.26
c2839,1.25
yfcE,1.24
hemA,1.24
hslV,1.24
nikC,1.24
Z5331,1.24
ybjN,1.23
purB,1.23
tsx,1.23
c1040,1.23
c4088,1.22
thrS,1.22
rfbC,1.21
ycfF,1.21
maeB,1.21
tdh,1.21
Z1373,1.21
mltD,1.21
yceO,1.21
ECs1593,1.21
Z3101,1.2
nupC,1.2
nfo,1.2
ygaW,1.2
Z2789,1.2
yoaA,1.2
c4519,1.2
c3654,1.2
ydhD,1.19
Z4325,1.19
btuB,1.19
Z1365,1.19
c4067,1.18
ntpA,1.18
appY,1.18
uxuB,1.18
Z4184,1.18
ybaM,1.17
dfrA1,1.17
asnC,1.16
Z0953,1.16
c4086,1.16
rhaA,1.16
dcp,1.15
c3818,1.15
c0018,1.15
nuoG,1.15
hypC,1.15
c3139,1.14
c3668,1.14
yjjW,1.14
argS,1.14
wbbJ,1.13
yeaF,1.13
ackA,1.13
wzxB,1.13
c0426,1.13
hrpB,1.12
bglA,1.12
ispA,1.12
Z6035,1.12
c1513,1.12
Z4313,1.12
Z2042,1.12
yqgB,1.11
hrpA,1.11
tig,1.11
fis,1.11
htpG,1.11
c4081,1.11
trmD,1.11
c1883,1.11
ECs1173,1.11
uidR,1.1
wbbI,1.1
prfB,1.1
topB,1.1
prmB,1.1
yeaZ,1.1
Z1428,1.1
c4310,1.1
c1516,1.1
Z3938,1.1
ybiB,1.1
c3596,1.1
Z3074,1.1
polB,1.09
rpiR,1.09
glf,1.09
ECs2971,1.09
mrcB,1.09
Z0979,1.09
prc,1.08
recR,1.08
pspD,1.08
c1267,1.08
ompC,1.08
ydiU,1.07
mukF,1.07
dnaX,1.07
gyrA,1.07
fabG,1.07
c4115,1.07
c4015,1.07
c2455,1.07
Z3289,1.07
ycfQ,1.07
rnt,1.07
ndh,1.06
aroC,1.06
ECs1125,1.06
c4977,1.06
gabT,1.06
moeB,1.06
grpE,1.05
ribA,1.05
ECs1375,1.05
mepA,1.05
ychS,1.05
fldA,1.04
infA,1.04
potG,1.04
prfA,1.04
c1234,1.04
fabI,1.04
ybiK,1.04
uxuA,1.04
ftsK,1.04
c2535,1.04
Z5027,1.04
Z2393,1.04
moaA,1.03
yoaB,1.03
pbpG,1.03
c4064,1.03
c2225,1.03
fumC,1.03
c0797,1.03
zwf,1.03
c3545,1.03
mutL,1.03
metG,1.03
greA,1.02
trxB,1.02
menD,1.02
purR,1.02
yedD,1.02
Z2972,1.02
gapC,1.02
pheS,1.02
rimK,1.02
ghoT,1.02
pepD,1.02
Z6064,1.02
fabD,1.02
ECs4958,1.02
c2510,1.02
c2525,1.02
ybbN,1.01
slyA,1.01
c4780,1.01
c1418,1.01
ycfL,1.01
c2723,1.01
